Order,Kind,Time,Title,People
1,Registration,9:30 a.m.,Registration and coffee,
2,Talk,9:45–10 a.m.,Welcome and introduction,"Dean Chang, Chief Innovation Officer and Associate Vice President for Innovation & Entrepreneurship and Economic Development, University of Maryland
Rob Cohen, Program Manager, Mtech Ventures"
3,Panel,10–11 a.m.,Navigating the Funding Landscape: Working With (and Without) Venture Capital,"Kaija Gisolfi-McCready, Investment Associate, Lockheed Martin Ventures
Mehdi Kalantari Khandani, President and CTO, Resensys
Rajesh Rai, Investor, Innovation Invention Partners and Chair, TiE DC"
4,Pitches,11:10 a.m.–Noon,Startup quick pitches (two minutes each),"Moderated by Josh Doying, Startup Success Manager, UM Ventures"
5,Networking / Exhibit hall,Noon–2 p.m.,"Lunch, networking and exhibit hall",
